Date;Product Name;Product Category
03.04.2020 06:29;Espresso (Grinder 1, Small);Espresso
03.04.2020 06:07;Kaffee (Grinder 2, Small);Coffee
03.04.2020 06:07;Kaffee (Grinder 2, Small);Coffee
03.04.2020 05:52;Espresso (Grinder 1, Small);Espresso
02.04.2020 15:58;Kaffee (Grinder 2, Small);Coffee
02.04.2020 15:58;Kaffee (Grinder 2, Small);Coffee
02.04.2020 15:43;_Cleaning;_Cleaning
02.04.2020 15:12;Kaffee (Grinder 2, Small);Coffee
02.04.2020 15:02;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 14:49;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
02.04.2020 14:46;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 14:39;Kaffee (Grinder 2, Small);Coffee
02.04.2020 13:23;Ristretto (Grinder 1, Small);Ristretto
02.04.2020 13:19;Espresso (Grinder 1, Small);Espresso
02.04.2020 12:49;Tee (Small);Tea
02.04.2020 12:48;Tee (Small);Tea
02.04.2020 12:38;Espresso (Grinder 1, Small);Espresso
02.04.2020 12:36;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
02.04.2020 12:35;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 12:20;Espresso (Grinder 1, Small);Espresso
02.04.2020 12:16;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 12:13;Kaffee (Grinder 2, Small);Coffee
02.04.2020 12:12;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 12:12;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
02.04.2020 12:11;Espresso (Grinder 1, Small);Espresso
02.04.2020 11:33;Espresso (Grinder 1, Small);Espresso
02.04.2020 11:22;Latte Macchiato (Grinder 1, Milk 1, Small);Latte Macchiato
02.04.2020 09:36;Milchschaum (Milk 1, Small);Milk Foam
02.04.2020 09:34;Espresso (Grinder 1, Small);Espresso
02.04.2020 09:18;Espresso (Grinder 1, Small);Espresso
02.04.2020 09:17;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
02.04.2020 09:15;Espresso (Grinder 1, Small);Espresso
02.04.2020 09:14;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 09:13;Kaffee (Grinder 2, Small);Coffee
02.04.2020 09:12;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
02.04.2020 09:08;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 09:05;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 09:04;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
02.04.2020 09:03;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 09:00;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
02.04.2020 08:49;Kaffee (Grinder 2, Small);Coffee
02.04.2020 08:48;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 08:47;Milch (Milk 1, Small);Milk
02.04.2020 08:47;Kaffee (Grinder 2, Small);Coffee
02.04.2020 08:46;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
02.04.2020 08:41;Espresso (Grinder 1, Small);Espresso
02.04.2020 08:40;Kaffee (Grinder 2, Small);Coffee
02.04.2020 08:24;Espresso (Grinder 1, Small);Espresso
02.04.2020 07:56;Ristretto (Grinder 1, Small);Ristretto
02.04.2020 07:34;Espresso (Grinder 1, Small);Espresso
02.04.2020 07:15;Ristretto (Grinder 1, Small);Ristretto
02.04.2020 07:15;Espresso (Grinder 1, Small);Espresso
02.04.2020 07:08;Kaffee (Grinder 2, Small);Coffee
02.04.2020 07:04;Kaffee (Grinder 2, Small);Coffee
02.04.2020 06:54;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 06:49;Tee (Small);Tea
02.04.2020 06:48;Tee (Small);Tea
02.04.2020 06:48;Double Espresso (Grinder 1, Small);Espresso
02.04.2020 06:38;Espresso (Grinder 1, Small);Espresso
02.04.2020 06:31;Kaffee (Grinder 2, Small);Coffee
02.04.2020 06:17;Espresso (Grinder 1, Small);Espresso
02.04.2020 05:59;Milchschaum (Milk 1, Small);Milk Foam
02.04.2020 05:59;Milch (Milk 1, Small);Milk
02.04.2020 05:58;Kaffee (Grinder 2, Small);Coffee
02.04.2020 05:58;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
02.04.2020 05:57;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
02.04.2020 05:56;Tee (Small);Tea
02.04.2020 05:50;Tee (Small);Tea
02.04.2020 05:50;Tee (Small);Tea
01.04.2020 16:51;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 16:03;Tee (Small);Tea
01.04.2020 16:03;Tee (Small);Tea
01.04.2020 15:50;_Cleaning;_Cleaning
01.04.2020 15:10;Espresso (Grinder 1, Small);Espresso
01.04.2020 14:59;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 14:57;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 14:53;Kaffee (Grinder 2, Small);Coffee
01.04.2020 14:49;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 14:48;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 14:21;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 14:20;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 13:59;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 13:58;Milchschaum (Milk 1, Small);Milk Foam
01.04.2020 13:58;Milch (Milk 1, Small);Milk
01.04.2020 12:49;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 12:37;Kaffee (Grinder 2, Small);Coffee
01.04.2020 12:36;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
01.04.2020 12:36;Espresso (Grinder 1, Small);Espresso
01.04.2020 12:34;Espresso (Grinder 1, Small);Espresso
01.04.2020 12:32;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 12:14;Espresso (Grinder 1, Small);Espresso
01.04.2020 12:13;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 12:12;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 12:12;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 12:11;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 12:10;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 12:09;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 12:07;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 10:56;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 10:55;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
01.04.2020 09:22;Espresso (Grinder 1, Small);Espresso
01.04.2020 09:19;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
01.04.2020 09:18;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 09:16;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 09:16;Espresso (Grinder 1, Small);Espresso
01.04.2020 09:15;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 09:11;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 09:10;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 09:04;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 09:03;Kaffee (Grinder 2, Small);Coffee
01.04.2020 09:01;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 09:01;Kaffee (Grinder 2, Small);Coffee
01.04.2020 08:47;Kaffee (Grinder 2, Small);Coffee
01.04.2020 08:40;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 08:36;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 08:36;Kaffee (Grinder 2, Small);Coffee
01.04.2020 08:34;Kaffee (Grinder 2, Small);Coffee
01.04.2020 08:30;Ristretto (Grinder 1, Small);Ristretto
01.04.2020 08:00;Espresso (Grinder 1, Small);Espresso
01.04.2020 07:56;Espresso (Grinder 1, Small);Espresso
01.04.2020 07:52;Kaffee (Grinder 2, Small);Coffee
01.04.2020 07:42;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
01.04.2020 06:53;Kaffee (Grinder 2, Small);Coffee
01.04.2020 06:51;Tee (Small);Tea
01.04.2020 06:50;Tee (Small);Tea
01.04.2020 06:50;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 06:34;Kaffee (Grinder 2, Small);Coffee
01.04.2020 06:33;Kaffee (Grinder 2, Small);Coffee
01.04.2020 06:27;Double Espresso (Grinder 1, Small);Espresso
01.04.2020 05:45;Espresso (Grinder 1, Small);Espresso
01.04.2020 05:43;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
01.04.2020 05:42;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
01.04.2020 05:42;Kaffee (Grinder 2, Small);Coffee
31.03.2020 16:13;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 16:13;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 15:43;_Cleaning;_Cleaning
31.03.2020 14:48;Tee (Small);Tea
31.03.2020 14:48;Tee (Small);Tea
31.03.2020 14:48;Espresso (Grinder 1, Small);Espresso
31.03.2020 14:47;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 14:47;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 14:35;Kaffee (Grinder 2, Small);Coffee
31.03.2020 14:17;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 12:52;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 12:52;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 12:47;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 12:39;Kaffee (Grinder 2, Small);Coffee
31.03.2020 12:36;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 12:21;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 12:20;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 12:14;Espresso (Grinder 1, Small);Espresso
31.03.2020 12:12;Tee (Small);Tea
31.03.2020 12:11;Tee (Small);Tea
31.03.2020 12:11;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
31.03.2020 12:10;Espresso (Grinder 1, Small);Espresso
31.03.2020 12:07;Espresso (Grinder 1, Small);Espresso
31.03.2020 11:21;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 10:36;Ristretto (Grinder 1, Small);Ristretto
31.03.2020 10:33;Longwhite (Grinder 1, Milk 1, Small);White Americano (Water First)
31.03.2020 09:32;Tee (Small);Tea
31.03.2020 09:32;Tee (Small);Tea
31.03.2020 09:24;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 09:11;Espresso (Grinder 1, Small);Espresso
31.03.2020 09:04;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
31.03.2020 09:03;Kaffee (Grinder 2, Small);Coffee
31.03.2020 09:02;Kaffee (Grinder 2, Small);Coffee
31.03.2020 09:01;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 09:00;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 08:55;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
31.03.2020 08:47;Kaffee (Grinder 2, Small);Coffee
31.03.2020 08:46;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 08:45;Kaffee (Grinder 2, Small);Coffee
31.03.2020 08:45;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 08:44;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 08:43;Espresso (Grinder 1, Small);Espresso
31.03.2020 08:19;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 08:08;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
31.03.2020 07:58;Tee (Small);Tea
31.03.2020 07:57;Tee (Small);Tea
31.03.2020 07:41;Espresso (Grinder 1, Small);Espresso
31.03.2020 07:31;Kaffee (Grinder 2, Small);Coffee
31.03.2020 07:25;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 07:24;Tee (Small);Tea
31.03.2020 07:24;Tee (Small);Tea
31.03.2020 07:24;Tee (Small);Tea
31.03.2020 07:24;Tee (Small);Tea
31.03.2020 07:23;Tee (Small);Tea
31.03.2020 07:15;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 07:14;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
31.03.2020 07:09;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 07:05;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 06:54;Double Espresso (Grinder 1, Small);Espresso
31.03.2020 06:50;Tee (Small);Tea
31.03.2020 06:49;Tee (Small);Tea
31.03.2020 06:41;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 06:40;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
31.03.2020 06:36;Milchschaum (Milk 1, Small);Milk Foam
31.03.2020 06:36;Milch (Milk 1, Small);Milk
31.03.2020 06:35;Milch (Milk 1, Small);Milk
31.03.2020 06:34;Tee (Small);Tea
31.03.2020 06:34;Tee (Small);Tea
31.03.2020 06:34;Tee (Small);Tea
31.03.2020 06:34;Tee (Small);Tea
31.03.2020 06:33;Kaffee (Grinder 2, Small);Coffee
30.03.2020 16:06;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 15:42;_Cleaning;_Cleaning
30.03.2020 15:04;Espresso (Grinder 1, Small);Espresso
30.03.2020 14:53;Espresso (Grinder 1, Small);Espresso
30.03.2020 14:50;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
30.03.2020 14:49;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 14:06;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 14:00;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
30.03.2020 12:44;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:37;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:35;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:27;Espresso (Grinder 1, Small);Espresso
30.03.2020 12:22;Espresso (Grinder 1, Small);Espresso
30.03.2020 12:16;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:14;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:14;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 12:13;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 12:12;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:11;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 12:09;Espresso (Grinder 1, Small);Espresso
30.03.2020 12:09;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 12:08;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 12:06;Espresso (Grinder 1, Small);Espresso
30.03.2020 12:05;Kaffee (Grinder 2, Small);Coffee
30.03.2020 11:16;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 11:13;Kaffee (Grinder 2, Small);Coffee
30.03.2020 10:33;Espresso (Grinder 1, Small);Espresso
30.03.2020 10:04;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 09:42;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 09:18;Milch (Milk 1, Small);Milk
30.03.2020 09:17;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 09:16;Espresso (Grinder 1, Small);Espresso
30.03.2020 09:15;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 09:14;Kaffee (Grinder 2, Small);Coffee
30.03.2020 09:14;Latte Macchiato (Grinder 1, Milk 1, Small);Latte Macchiato
30.03.2020 09:13;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 09:12;Kaffee (Grinder 2, Small);Coffee
30.03.2020 09:11;Tee (Small);Tea
30.03.2020 09:11;Tee (Small);Tea
30.03.2020 09:07;Espresso (Grinder 1, Small);Espresso
30.03.2020 09:06;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 09:05;Kaffee (Grinder 2, Small);Coffee
30.03.2020 09:04;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 09:04;Kaffee (Grinder 2, Small);Coffee
30.03.2020 09:02;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 09:01;Kaffee (Grinder 2, Small);Coffee
30.03.2020 09:00;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 08:53;Kaffee (Grinder 2, Small);Coffee
30.03.2020 08:49;Kaffee (Grinder 2, Small);Coffee
30.03.2020 08:46;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 08:39;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 07:54;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 07:53;Espresso (Grinder 1, Small);Espresso
30.03.2020 07:43;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 07:40;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 07:39;Tee (Small);Tea
30.03.2020 07:39;Tee (Small);Tea
30.03.2020 07:38;Tee (Small);Tea
30.03.2020 07:38;Tee (Small);Tea
30.03.2020 07:38;Tee (Small);Tea
30.03.2020 07:29;Kaffee (Grinder 2, Small);Coffee
30.03.2020 07:20;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 07:20;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 07:09;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 06:59;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 06:54;Kaffee (Grinder 2, Small);Coffee
30.03.2020 06:50;Tee (Small);Tea
30.03.2020 06:50;Tee (Small);Tea
30.03.2020 06:50;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 06:42;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 06:41;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 06:33;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
30.03.2020 06:22;Double Espresso (Grinder 1, Small);Espresso
30.03.2020 06:15;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
30.03.2020 06:14;Espresso (Grinder 1, Small);Espresso
30.03.2020 06:13;Espresso (Grinder 1, Small);Espresso
30.03.2020 06:03;Kaffee (Grinder 2, Small);Coffee
27.03.2020 15:43;_Cleaning;_Cleaning
27.03.2020 15:08;Kaffee (Grinder 2, Small);Coffee
27.03.2020 15:07;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 14:58;Espresso (Grinder 1, Small);Espresso
27.03.2020 14:54;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
27.03.2020 14:50;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 14:49;Ristretto (Grinder 1, Small);Ristretto
27.03.2020 12:42;Espresso (Grinder 1, Small);Espresso
27.03.2020 12:40;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 12:39;Espresso (Grinder 1, Small);Espresso
27.03.2020 12:38;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 12:36;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 12:18;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
27.03.2020 12:08;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 12:07;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
27.03.2020 12:07;Espresso (Grinder 1, Small);Espresso
27.03.2020 12:06;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 12:01;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 11:49;Milchschaum (Milk 1, Small);Milk Foam
27.03.2020 11:46;Latte Macchiato (Grinder 1, Milk 1, Small);Latte Macchiato
27.03.2020 11:19;Espresso (Grinder 1, Small);Espresso
27.03.2020 11:15;Espresso (Grinder 1, Small);Espresso
27.03.2020 11:04;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
27.03.2020 10:37;Ristretto (Grinder 1, Small);Ristretto
27.03.2020 09:55;White Americano (Grinder 1, Milk 1, Small);White Americano
27.03.2020 09:39;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
27.03.2020 09:24;Ristretto (Grinder 1, Small);Ristretto
27.03.2020 09:22;Kaffee (Grinder 2, Small);Coffee
27.03.2020 09:18;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 09:16;Milchschaum (Milk 1, Small);Milk Foam
27.03.2020 09:16;Milch (Milk 1, Small);Milk
27.03.2020 09:15;Milch (Milk 1, Small);Milk
27.03.2020 09:15;Espresso (Grinder 1, Small);Espresso
27.03.2020 09:06;Espresso (Grinder 1, Small);Espresso
27.03.2020 09:05;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 09:04;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 09:04;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 09:02;Kaffee (Grinder 2, Small);Coffee
27.03.2020 08:46;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
27.03.2020 08:45;Kaffee (Grinder 2, Small);Coffee
27.03.2020 08:44;Kaffee (Grinder 2, Small);Coffee
27.03.2020 07:59;Espresso (Grinder 1, Small);Espresso
27.03.2020 07:50;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 07:25;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 07:20;Kaffee (Grinder 2, Small);Coffee
27.03.2020 07:19;Kaffee (Grinder 2, Small);Coffee
27.03.2020 07:02;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 06:59;Kaffee (Grinder 2, Small);Coffee
27.03.2020 06:53;Tee (Small);Tea
27.03.2020 06:52;Tee (Small);Tea
27.03.2020 06:30;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 06:27;Kaffee (Grinder 2, Small);Coffee
27.03.2020 06:20;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 06:20;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
27.03.2020 06:19;Double Espresso (Grinder 1, Small);Espresso
27.03.2020 06:08;Kaffee (Grinder 2, Small);Coffee
27.03.2020 05:48;Espresso (Grinder 1, Small);Espresso
26.03.2020 17:30;Tee (Small);Tea
26.03.2020 17:30;Double Espresso (Grinder 1, Small);Espresso
26.03.2020 15:58;Double Espresso (Grinder 1, Small);Espresso
26.03.2020 15:57;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
26.03.2020 15:42;_Cleaning;_Cleaning
26.03.2020 15:07;Espresso (Grinder 1, Small);Espresso
26.03.2020 15:06;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
26.03.2020 15:01;Latte Macchiato (Grinder 1, Milk 1, Small);Latte Macchiato
26.03.2020 15:00;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
26.03.2020 14:51;Espresso (Grinder 1, Small);Espresso
26.03.2020 14:50;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
26.03.2020 14:38;Kaffee (Grinder 2, Small);Coffee
26.03.2020 14:37;Espresso (Grinder 1, Small);Espresso
26.03.2020 14:25;Ristretto (Grinder 1, Small);Ristretto
26.03.2020 14:25;Espresso (Grinder 1, Small);Espresso
26.03.2020 14:22;Espresso (Grinder 1, Small);Espresso
26.03.2020 13:59;Kaffee (Grinder 2, Small);Coffee
26.03.2020 13:54;Tee (Small);Tea
26.03.2020 13:54;Tee (Small);Tea
26.03.2020 12:51;Double Espresso (Grinder 1, Small);Espresso
26.03.2020 12:43;Ristretto (Grinder 1, Small);Ristretto
26.03.2020 12:40;Espresso Macchiato (Grinder 1, Milk 1, Small);Espresso Macchiato
26.03.2020 12:37;Schale Dunkel  (Grinder 2, Milk 1, Small);Milk Coffee (Time Optimized)
26.03.2020 12:36;Double Espresso (Grinder 1, Small);Espresso
26.03.2020 12:35;Espresso (Grinder 1, Small);Espresso
